created_at,text
2020-10-03 02:45:12,"@TeslaUnofficial Tesla is not just a cars/storage/solar panels/roofs. Tesla is a lifestyle that helps the world move towards sustainable energy ☀️

Use my referral code to get a nice bonus for the best buy in your life ❤️

https://t.co/bI2m73haUL"
2020-10-03 02:48:12,"@chainlink @CryptoDavid_ @Tesla Rogue: Requesting for future Hackathons for #LinkHack hashtag for more effective communication would you kindly 

Congrats on the winners, I see the OG $link Marine has won again

Can't help but think one of the runners up will change the world shortly... https://t.co/lkkyAVhaeO"
2020-10-03 02:47:52,@timlopez @Tesla They will do anything to push you beyond 7 days so you are stuck with it. Get rid of it now!
2020-10-03 02:46:13,@tesla_master @BLKMDL3 @BigTaeng @Teslatunity sorry or you talking about M3 vegan seats?
2020-10-03 02:43:30,So @elonmusk are we going to have @tesla as a ride on @TheBEAT_MX in México? https://t.co/3YaRkipdmg
2020-10-03 02:48:15,Tesla Vs. Nio Vs. Li Auto: How Q3 Deliveries From Electric Automakers Stack Up https://t.co/E3tnwJTvVr  $TSLA $NIO $LI https://t.co/x0R4mXuNSY
2020-10-03 02:43:30,"@BLKMDL3 @tesla_master @BigTaeng @Teslatunity small amount of dish washing soap, like very little, nothing else needed. you will eat away at the vegan leather"
2020-10-03 02:47:48,"@Bart_Suchocki @WallStreetYoda Thats scary....cant catch a break. Trying to have long term mentality with Airlines and Beoing, Tesla and Apple, but seems like they will all go down."
2020-10-03 02:47:04,@Casey @codyko Why no Tesla’s?
2020-10-03 02:44:37,@teslainvernon Mountains are exactly where a Tesla belongs in my humble opinion :)
2020-10-03 02:47:24,"i think people will be surprised at how good margins are, because not only did tesla make record deliveries, they also delivered a lot more model Y 

model y has a higher price, but costs Tesla less to make. @elonmusk"
2020-10-03 02:41:56,Tesla Powerpoint Presentation https://t.co/oFVoetxWoU #powerpoint #presentation #minimalist #graphicdesign #tesla #graphic
2020-10-03 02:48:14,Tesla CEO Elon Musk hints at India entry in 2021 - The Economic Times https://t.co/4RUQrjGC9g via @economictimes
2020-10-03 02:49:24,"@Tesla CEO @elonmusk suggests INDIA entry in 2021.
As he replied in a @Twitter post ""NEXT YEAR FOR SURE""..."
2020-10-03 02:45:40,"@Omggg_Emma @ColorfulApe9 Oh yeah? Well I’ll leave the hot steaming shit in your Tesla! Beat that, bitch."
2020-10-03 02:49:34,@on_tesla @Tweetermeyer @on_tesla please tell us how much you know about the automotive industry.
2020-10-03 02:43:49,"Tesla tuning shop upgrades Model X into a $200,000 masterpiece https://t.co/N7zklYDxiA"
2020-10-03 02:48:44,@mcblank I'm going to guess your name is Tesla?
2020-10-03 02:48:41,@vincent13031925 @MontanaSeptic you ever think tesla growth rate is due to how little they sell compared to the other car makers?
2020-10-03 02:47:13,@aurux @MrRobRobson @Tesla I imagine the air resistance isn't that great
2020-10-03 02:49:48,Chloe the Tesla Pup is stunning 💕 https://t.co/orA3kodsaj
2020-10-03 02:44:59,@andymckay Looks like the Tesla is maybe 8k more expensive than the dodge (based on a *very* quick search) so savings start somewhere on the 2nd year. Not bad.
2020-10-03 02:42:25,"Is there any chance of an update that would enable turning off the light flash for Sentry Mode? @elonmusk 

Sometimes stealth is better than drawing attention. 

#tesla #Model3 #sentrymode"
2020-10-03 02:48:25,"Tesla tuning shop upgrades Model X into a $200,000 masterpiece https://t.co/mVFHNOtss0 @businessinsider"
2020-10-03 02:46:18,"@jtasakorn @MrRobRobson @Tesla That's great, because the rocket should hopefully be able to fly with slightly uneven weight distribution"
2020-10-03 02:46:28,@Nik0la__Tesla I worried that would happen. Especially the people that were loud about COVID not being anything
2020-10-03 02:42:31,@vincent13031925 Tesla breaks record deliveries and stock goes down 7%. Fu.. logic
2020-10-03 02:43:36,Someone get me a Tesla !!!!
2020-10-03 02:49:06,@PedalPoweredSW I recommend you watch Now you Know a channel that covers Tesla and EV news.  They'll help you understand where you were misled.  https://t.co/4IrjsQcpuY
2020-10-03 02:47:54,"@TeslaUnofficial Use my referral link to receive 1,000 free Supercharger miles with the purchase and delivery of a new Tesla car, or earn a $100 award after system activation by purchasing or subscribing to solar panels: https://t.co/q8DXIC2BOc"
2020-10-03 02:43:43,@frunkkitty @SaraJAwesome @EPavlic @GerberKawasaki @Tesla Snuggles ❤❤❤❤
2020-10-03 02:48:25,"Tesla tuning shop upgrades Model X into a $200,000 masterpiece https://t.co/jomx2Saoqz @businessinsider"
2020-10-03 02:45:25,"No Tesla today, but beautiful photos that @bamtheteslaman1 took! What do you think ⁦@28delayslater⁩ https://t.co/MknQirXlFn"
2020-10-03 02:44:15,"@serra_kennedy will somehow overtake Earth but leave Mars unscathed regardless how close we are, or how we'll be in Mars by two years ago, or how Starman was meant for the Mars orbit but somehow it's lost its mark and has gone much further, or that he is the founder of Tesla, an engineer,"
2020-10-03 02:42:00,"@tesla_master @BLKMDL3 @BigTaeng No slip from the cleaner... as for the conditioner yes, but just buff it off well"
2020-10-03 02:48:37,@DavidDobrik you can hit me with a tesla and i’ll still suck you sloppy
2020-10-03 02:43:58,Tesla buys German battery manufacturer ATW https://t.co/KrvDiLD9gE
2020-10-03 02:46:36,@CorinnaKopf i- bought Clix a Tesla?
2020-10-03 02:48:34,"@elonmusk @Tesla Well, my new Tesla model 3 just died, on the highway.....and I have to pay for the tow. #teslaproblems #returningmytesla #TeslaServiceIssues"
2020-10-03 02:43:51,"(Not my account... Although Twitter has suggested I follow ""Car Culture"", which is apparently all Tesla stuff anyway)"
2020-10-03 02:42:47,@elonmusk #ElonMusk @SpaceXStarlink @SpaceX #Wow can’t wait for this. starlink IPO is going to be amazing I am a long term holder in @Tesla now  but wow can’t wait. https://t.co/uOjMpTwWIc
2020-10-03 02:47:22,"@tesla_master CarPro Clarify Streak Free Glass Cleaner (500ml) https://t.co/moBF0MOiJF

Also been using this recently instead of invisible glass, works very well, smells great too."
2020-10-03 02:43:25,@frunkkitty @SaraJAwesome @EPavlic @GerberKawasaki @Tesla I got you @frunkkitty
2020-10-03 02:48:28,"Wtf @Tesla @elonmusk 😂 
First of all this is a ford, you can do better. 
Secondly why is this not electric 😂 https://t.co/418cnA9ORi"
